#FILE	NUM_FOUND	aac(3)-IIa_1	aac(3)-IId_1	aac(3)-IVa_1	aadA2_1	aadA5_1	ant(3'')-Ia_1	aph(3'')-Ib_2	aph(3'')-Ib_5	aph(3')-IIa_2	aph(3')-Ia_1	aph(3')-Ia_3	aph(3')-Ia_9	aph(4)-Ia_1	aph(6)-Id_1	blaCARB-2_1	blaCMY-2_1	blaCTX-M-130_1	blaCTX-M-15_1	blaCTX-M-27_1	blaCTX-M-55_1	blaCTX-M-65_1	blaCTX-M-8_1	blaTEM-106_1	blaTEM-141_1	blaTEM-176_1	blaTEM-1B_1	catA1_1	catA2_1	cmlA1_1	dfrA12_5	dfrA12_8	dfrA14_5	dfrA16_2	dfrA17_1	dfrA1_10	dfrA1_8	dfrA8_1	floR_2	fosA3_1	fosA7_1	lnu(F)_1	mcr-1.1_1	mdf(A)_1	mph(A)_2	qepA4_1	qnrB19_1	qnrS1_1	sul1_5	sul2_2	sul2_3	sul3_2	tet(A)_6	tet(B)_1	tet(B)_2
AI-5395_19_19_assembly_Abricate_resfinder.tsv	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_1_1_assembly_Abricate_resfinder.tsv	12	.	.	.	.	.	82.51	.	100.00	100.00	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	86.64	.	.	.	.	.	.	.	.	.	.	.	.	.	99.92	100.00	.	.	.	100.00	.	.	.	.	.	100.00	.	100.00	100.00	.	.
AI-5395_20_20_assembly_Abricate_resfinder.tsv	10	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	97.80	.	.
AI-5395_21_21_assembly_Abricate_resfinder.tsv	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	86.64	.	.	.	.	.	.	.	.	.	.	.	.	.	.	94.24	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_22_22_assembly_Abricate_resfinder.tsv	10	.	.	.	.	.	82.51	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	.	.	86.64	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	100.00	.	.	.	100.00	97.80	.	.
AI-5395_23_23_assembly_Abricate_resfinder.tsv	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_24_24_assembly_Abricate_resfinder.tsv	10	.	.	.	97.92	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	86.64	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	100.00	83.82	100.00	.	.	100.00	.	.	.	.	.	.
AI-5395_25_25_assembly_Abricate_resfinder.tsv	7	.	.	.	.	.	82.51	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	99.92	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	100.00	.	.
AI-5395_26_26_assembly_Abricate_resfinder.tsv	7	.	.	.	.	.	82.51;99.59	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	100.00	97.80	.	.
AI-5395_27_27_assembly_Abricate_resfinder.tsv	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_28_28_assembly_Abricate_resfinder.tsv	6	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	.	.	.
AI-5395_29_29_assembly_Abricate_resfinder.tsv	6	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.
AI-5395_2_2_assembly_Abricate_resfinder.tsv	7	.	.	.	.	.	82.51	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	86.64	.	100.00	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	91.29	.	.	.
AI-5395_30_30_assembly_Abricate_resfinder.tsv	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	97.80	.	.
AI-5395_31_31_assembly_Abricate_resfinder.tsv	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	100.00
AI-5395_32_32_assembly_Abricate_resfinder.tsv	12	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	99.92	100.00	.	.	.	100.00	100.00	.	.	.	100.00	100.00;100.00	.	.	100.00	.	.
AI-5395_33_33_assembly_Abricate_resfinder.tsv	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_34_34_assembly_Abricate_resfinder.tsv	17	.	100.00	.	97.92	.	82.51	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	86.64	100.00	100.00	.	.	100.00	.	.	.	.	.	.	.	.	99.92	100.00	.	.	.	100.00	.	.	100.00	.	.	.	.	100.00	100.00	100.00	.
AI-5395_35_35_assembly_Abricate_resfinder.tsv	8	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	86.64	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00
AI-5395_36_36_assembly_Abricate_resfinder.tsv	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	97.80	.	.
AI-5395_37_37_assembly_Abricate_resfinder.tsv	7	.	.	.	.	.	82.51	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	99.92	.	.	.	.	100.00	.	.	100.00	.	.	.	.	100.00	100.00	.	.
AI-5395_38_38_assembly_Abricate_resfinder.tsv	5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	86.64	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00
AI-5395_39_39_assembly_Abricate_resfinder.tsv	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.92	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.
AI-5395_3_3_assembly_Abricate_resfinder.tsv	14	.	.	.	97.92	.	82.51	.	100.00	100.00	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	86.64	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	99.92	.	.	.	.	100.00	.	.	.	.	.	100.00	.	100.00	100.00	.	.
AI-5395_40_40_assembly_Abricate_resfinder.tsv	10	.	.	.	97.92	.	82.51	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	99.92	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	100.00	.	.
AI-5395_41_41_assembly_Abricate_resfinder.tsv	10	.	.	.	.	.	82.20;82.51	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	86.64	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	99.92	.	.	.	.	100.00	.	.	100.00	.	.	.	.	100.00	97.80;100.00	.	.
AI-5395_42_43_assembly_Abricate_resfinder.tsv	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_43_44_assembly_Abricate_resfinder.tsv	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_44_45_assembly_Abricate_resfinder.tsv	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_45_46_assembly_Abricate_resfinder.tsv	10	.	.	.	97.92	.	82.51	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	97.80	.	.
AI-5395_46_47_assembly_Abricate_resfinder.tsv	10	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	99.92	.	.	.	.	100.00	.	.	.	100.00	.	100.00	.	.	100.00;97.80	.	.
AI-5395_47_48_assembly_Abricate_resfinder.tsv	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_48_49_assembly_Abricate_resfinder.tsv	6	.	.	.	.	.	82.51	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.
AI-5395_49_50_assembly_Abricate_resfinder.tsv	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_4_4_assembly_Abricate_resfinder.tsv	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	97.80	.	.
AI-5395_50_51_assembly_Abricate_resfinder.tsv	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_51_53_assembly_Abricate_resfinder.tsv	13	100.00	.	.	.	100.00	82.51	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	99.92	.	.	.	.	100.00	.	.	.	.	87.20	.	100.00	100.00	.	.	100.00
AI-5395_52_54_assembly_Abricate_resfinder.tsv	11	.	.	.	.	.	.	.	100.00	99.75	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	86.64	.	.	.	.	.	.	.	.	.	.	100.00	.	.	99.92	100.00	.	.	.	100.00	.	.	.	.	.	100.00	.	.	100.00	.	.
AI-5395_53_55_assembly_Abricate_resfinder.tsv	17	.	100.00	.	.	100.00	.	.	100.00	100.00	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	86.64	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.92	100.00	.	.	.	100.00	100.00	.	100.00	.	100.00	100.00	.	.	100.00	.	.
AI-5395_54_56_assembly_Abricate_resfinder.tsv	11	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	.	.	97.80	.	.
AI-5395_55_57_assembly_Abricate_resfinder.tsv	8	.	.	.	.	.	82.20	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	86.64	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	97.80	100.00	.
AI-5395_56_58_assembly_Abricate_resfinder.tsv	10	100.00	.	.	.	.	82.51	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	99.92	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	97.80	.	.
AI-5395_57_59_assembly_Abricate_resfinder.tsv	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_58_60_assembly_Abricate_resfinder.tsv	13	.	.	99.87	97.92	.	82.51	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	.	.	.	.	99.92	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	97.80	.	.
AI-5395_59_61_assembly_Abricate_resfinder.tsv	10	.	.	99.87	97.92	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	86.50	.	100.00	.	.	99.92	.	.	.	.	.	.	.	.	97.80	.	.
AI-5395_5_5_assembly_Abricate_resfinder.tsv	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_60_62_assembly_Abricate_resfinder.tsv	5	.	.	.	.	.	82.20	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	86.64	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_61_63_assembly_Abricate_resfinder.tsv	9	.	.	.	.	.	.	99.88	.	.	.	100.00	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	97.80	.	.
AI-5395_62_64_assembly_Abricate_resfinder.tsv	7	.	.	.	.	.	82.20	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	86.64	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	97.80	.	.
AI-5395_63_65_assembly_Abricate_resfinder.tsv	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_64_66_assembly_Abricate_resfinder.tsv	10	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	99.92	100.00	.	.	.	100.00	.	.	.	.	.	100.00;100.00	.	.	100.00	.	.
AI-5395_65_67_assembly_Abricate_resfinder.tsv	5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	99.89	.	.	.	.	.	.	.	97.80	.	.
AI-5395_66_68_assembly_Abricate_resfinder.tsv	11	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	100.00	.	100.00	.	.	.	86.64	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	100.00	.	100.00	.	.	97.80	.	.
AI-5395_67_69_assembly_Abricate_resfinder.tsv	17	.	.	.	.	100.00	.	.	100.00	100.00	100.00	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	86.64	.	100.00	100.00	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	100.00	100.00	.	100.00	.	100.00	.	100.00	.	.	.	100.00
AI-5395_68_70_assembly_Abricate_resfinder.tsv	14	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.92	.	.	.	.	100.00	100.00	.	100.00	.	100.00	100.00	.	.	100.00	.	.
AI-5395_69_71_assembly_Abricate_resfinder.tsv	13	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	100.00	.	100.00	.	100.00	100.00	.	.	99.76	.	.
AI-5395_6_6_assembly_Abricate_resfinder.tsv	4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	86.64	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_70_72_assembly_Abricate_resfinder.tsv	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	97.80	.	.
AI-5395_71_73_assembly_Abricate_resfinder.tsv	9	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	100.00	86.64	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	97.80	.	.
AI-5395_72_74_assembly_Abricate_resfinder.tsv	11	100.00	.	.	.	100.00	.	.	100.00	.	100.00	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	.	.	.	87.20	.	100.00	.	.	.	100.00
AI-5395_7_7_assembly_Abricate_resfinder.tsv	8	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	86.64	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00
AI-5395_8_8_assembly_Abricate_resfinder.tsv	10	.	.	.	.	.	82.51	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	.	.	86.64	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	100.00	.	.	.	100.00	97.80	.	.
AI-5395_9_9_assembly_Abricate_resfinder.tsv	6	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	86.64	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.
