Filename	PubMLST_scheme_name	SeqType	Allele_ID_1	Allele_ID_2	Allele_ID_3	Allele_ID_4	Allele_ID_5	Allele_ID_6	Allele_ID_7
AI-1608_140_140_assembly.fasta	ecoli	212	adk(6)	fumC(29)	gyrB(4)	icd(18)	mdh(11)	purA(8)	recA(6)
AI-1608_141_141_assembly.fasta	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AI-1608_142_142_assembly.fasta	ecoli	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
AI-1608_143_143_assembly.fasta	ecoli	354	adk(85)	fumC(88)	gyrB(78)	icd(29)	mdh(59)	purA(58)	recA(62)
AI-1608_144_144_assembly.fasta	ecoli	452	adk(76)	fumC(43)	gyrB(19)	icd(37)	mdh(30)	purA(1)	recA(25)
AI-1608_145_145_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_146_146_assembly.fasta	ecloacae	1065	dnaA(305)	fusA(106)	gyrB(330)	leuS(367)	pyrG(298)	rplB(138)	rpoB(18)
AI-1608_147_147_assembly.fasta	cfreundii	-	aspC(6)	clpX(6)	fadD(8)	mdh(7)	arcA(1)	dnaG(1)	lysP(12?)
AI-1608_148_148_assembly.fasta	ecoli	641	adk(9)	fumC(6)	gyrB(33)	icd(131)	mdh(24)	purA(8)	recA(7)
AI-1608_149_149_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_150_150_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_151_151_assembly.fasta	ecoli	1172	adk(6)	fumC(6)	gyrB(14)	icd(18)	mdh(7)	purA(18)	recA(6)
AI-1608_152_152_assembly.fasta	ecoli	3288	adk(6)	fumC(7)	gyrB(5)	icd(1)	mdh(8)	purA(8)	recA(2)
AI-1608_153_153_assembly.fasta	ecoli	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
AI-1608_154_154_assembly.fasta	ecoli	3580	adk(6)	fumC(65)	gyrB(344)	icd(1)	mdh(11)	purA(13)	recA(6)
AI-1608_155_155_assembly.fasta	ecoli	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
AI-1608_156_156_assembly.fasta	ecoli	-	adk(27)	fumC(32)	gyrB(24)	icd(29)	mdh(26)	purA(19)	recA(~22)
AI-1608_157_157_assembly.fasta	ecoli	351	adk(6)	fumC(95)	gyrB(4)	icd(88)	mdh(7)	purA(7)	recA(7)
AI-1608_158_158_assembly.fasta	ecoli	3580	adk(6)	fumC(65)	gyrB(344)	icd(1)	mdh(11)	purA(13)	recA(6)
AI-1608_159_159_assembly.fasta	ecoli	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
AI-1608_160_160_assembly.fasta	ecoli	452	adk(76)	fumC(43)	gyrB(19)	icd(37)	mdh(30)	purA(1)	recA(25)
AI-1608_161_161_assembly.fasta	ecoli	48	adk(6)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_162_162_assembly.fasta	cfreundii	151	aspC(78)	clpX(6)	fadD(89)	mdh(7)	arcA(3)	dnaG(45)	lysP(76)
AI-1608_163_163_assembly.fasta	cfreundii	151	aspC(78)	clpX(6)	fadD(89)	mdh(7)	arcA(3)	dnaG(45)	lysP(76)
AI-1608_164_164_assembly.fasta	ecoli	162	adk(9)	fumC(65)	gyrB(5)	icd(1)	mdh(9)	purA(13)	recA(6)
AI-1608_165_165_assembly.fasta	ecoli	-	adk(100)	fumC(291)	gyrB(271)	icd(63)	mdh(5)	purA(16)	recA(4)
AI-1608_166_166_assembly.fasta	ecoli	3877	adk(10)	fumC(11)	gyrB(369)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_167_167_assembly.fasta	ecoli	191	adk(6)	fumC(29)	gyrB(5)	icd(18)	mdh(11)	purA(8)	recA(41)
AI-1608_168_168_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_169_169_assembly.fasta	ecoli	127	adk(13)	fumC(14)	gyrB(19)	icd(36)	mdh(23)	purA(11)	recA(10)
AI-1608_170_170_assembly.fasta	ecoli	127	adk(13)	fumC(14)	gyrB(19)	icd(36)	mdh(23)	purA(11)	recA(10)
AI-1608_171_171_assembly.fasta	ecoli	226	adk(10)	fumC(27)	gyrB(5)	icd(8)	mdh(8)	purA(7)	recA(2)
AI-1608_172_172_assembly.fasta	ecoli	2076	adk(21)	fumC(35)	gyrB(61)	icd(52)	mdh(5)	purA(77)	recA(4)
AI-1608_173_173_assembly.fasta	ecoli	86	adk(9)	fumC(6)	gyrB(33)	icd(33)	mdh(24)	purA(8)	recA(7)
AI-1608_174_174_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_175_175_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_176_176_assembly.fasta	cfreundii	151	aspC(78)	clpX(6)	fadD(89)	mdh(7)	arcA(3)	dnaG(45)	lysP(76)
AI-1608_177_177_assembly.fasta	cfreundii	151	aspC(78)	clpX(6)	fadD(89)	mdh(7)	arcA(3)	dnaG(45)	lysP(76)
AI-1608_178_178_assembly.fasta	ecoli	1276	adk(17)	fumC(231)	gyrB(167)	icd(198)	mdh(7)	purA(157)	recA(2)
AI-1608_179_179_assembly.fasta	ecoli	155	adk(6)	fumC(4)	gyrB(14)	icd(16)	mdh(24)	purA(8)	recA(14)
AI-1608_180_180_assembly.fasta	ecoli	1727	adk(6)	fumC(19)	gyrB(3)	icd(16)	mdh(11)	purA(8)	recA(6)
AI-1608_181_181_assembly.fasta	ecoli	156	adk(6)	fumC(29)	gyrB(32)	icd(16)	mdh(11)	purA(8)	recA(44)
AI-1608_182_182_assembly.fasta	ecoli	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
AI-1608_183_183_assembly.fasta	ecoli	1193	adk(14)	fumC(14)	gyrB(10)	icd(200)	mdh(17)	purA(7)	recA(10)
AI-1608_184_184_assembly.fasta	ecoli	156	adk(6)	fumC(29)	gyrB(32)	icd(16)	mdh(11)	purA(8)	recA(44)
AI-1608_185_185_assembly.fasta	ecoli	4741	adk(10)	fumC(11)	gyrB(418)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_186_186_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_187_187_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_188_188_assembly.fasta	ecoli	452	adk(76)	fumC(43)	gyrB(19)	icd(37)	mdh(30)	purA(1)	recA(25)
AI-1608_189_189_assembly.fasta	ecoli	452	adk(76)	fumC(43)	gyrB(19)	icd(37)	mdh(30)	purA(1)	recA(25)
AI-1608_190_190_assembly.fasta	ecoli	155	adk(6)	fumC(4)	gyrB(14)	icd(16)	mdh(24)	purA(8)	recA(14)
AI-1608_191_191_assembly.fasta	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AI-1608_192_192_assembly.fasta	ecloacae	-	dnaA(~305)	fusA(106)	gyrB(~330)	leuS(~367)	pyrG(298)	rplB(12)	rpoB(18)
AI-1608_193_193_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_194_194_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_195_195_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_196_196_assembly.fasta	ecoli	3580	adk(6)	fumC(65)	gyrB(344)	icd(1)	mdh(11)	purA(13)	recA(6)
AI-1608_197_197_assembly.fasta	ecloacae	146	dnaA(77)	fusA(4)	gyrB(14)	leuS(79)	pyrG(39)	rplB(4)	rpoB(9)
AI-1608_198_198_assembly.fasta	ecoli	6448	adk(6)	fumC(4)	gyrB(32)	icd(1)	mdh(9)	purA(8)	recA(6)
AI-1608_199_199_assembly.fasta	ecoli	58	adk(6)	fumC(4)	gyrB(4)	icd(16)	mdh(24)	purA(8)	recA(14)
AI-1608_200_200_assembly.fasta	ecoli	-	adk(13)	fumC(21)	gyrB(13)	icd(487)	mdh(~17)	purA(14)	recA(15)
AI-1608_201_201_assembly.fasta	ecoli	69	adk(21)	fumC(35)	gyrB(27)	icd(6)	mdh(5)	purA(5)	recA(4)
AI-1608_202_202_assembly.fasta	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AI-1608_203_203_assembly.fasta	-	-
AI-1608_204_204_assembly.fasta	ecoli	127	adk(13)	fumC(14)	gyrB(19)	icd(36)	mdh(23)	purA(11)	recA(10)
AI-1608_205_205_assembly.fasta	ecoli	5855	adk(10)	fumC(11)	gyrB(125)	icd(12)	mdh(461)	purA(18)	recA(2)
AI-1608_206_206_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
